"Marca temporal","Edad","Género","Nivel Educativo","¿Basándose en lo visual, la aplicación se presentó correctamente en el dispositivo que utilizó para utilizarla?","¿Encuentra la interfaz de usuario de la aplicación intuitiva y fácil de usar?","¿Los tiempos de carga de la aplicación, son adecuados?","¿Has experimentado algún problema técnico o error mientras utilizas la aplicación?","¿Usted considera que la información fue presentada en un formato adecuado para el análisis y comprensión?","¿Usted considera que los colores utilizados para la presentación de la información son adecuados?","¿Usted considera adecuado el tiempo para generar un reporte?","¿Usted considera que el formato del reporte es adecuado?","¿La información presente en el reporte es clara?","¿Hay alguna función o característica que desearías que estuviera presente en la aplicación?","¿Cómo cree que la aplicación podría ser más útil o valiosa?"
"2023/06/09 11:44:00 a. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:48:53 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:49:16 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","3","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:50:11 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","5","5","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:50:46 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","3","3","No","Si","Si","Si","4","5","",""
"2023/06/09 11:55:13 a. m. GMT-5","Entre 25 y 64","Masculino","Maestria Culminado","5","5","4","No","Si","Si","Si","5","5","",""
"2023/06/09 11:58:44 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","2","2","","Si","No","Si","No","3","2","",""
"2023/06/09 12:02:33 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","4","4","No","No","Si","Si","5","5","",""
"2023/06/09 12:05:08 p. m. GMT-5","Entre 18 y 24","Masculino","Maestria Culminado","5","4","4","No","Si","Si","Si","5","5","",""
"2023/06/09 12:15:28 p. m. GMT-5","Entre 25 y 64","Femenino","Maestria Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 12:20:35 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","3","No","Si","Si","Si","4","5","",""
"2023/06/09 7:05:09 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","2","3","No","No","Si","No","3","2","",""
"2023/06/09 7:12:31 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","3","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 7:18:45 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 11:46:39 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","3","Si","Si","Si","Si","4","4","",""
"2023/06/10 1:24:12 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3","3","Si","No","No","No","2","2","",""
"2023/06/10 6:07:17 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","4","4","No","Si","Si","Si","5","5","",""
"2023/06/10 6:44:07 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/11 6:18:09 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","5","No","Si","Si","Si","4","4","",""
"2023/06/13 8:43:19 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","4","5","",""
"2023/06/13 8:55:54 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/13 8:58:27 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","5","5","No","Si","Si","Si","5","5","",""
"2023/06/13 9:04:28 p. m. GMT-5","","Masculino","Otro","2","1","4","No","Si","Si","Si","2","3","","""
"2023/06/13 9:05:35 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","4","",""
"2023/06/13 9:07:28 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/13 9:09:09 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/13 9:20:04 p. m. GMT-5","Entre 25 y 64","Femenino","Maestria Culminado","4","4","5","No","Si","Si","Si","4","5","",""
"2023/06/13 9:21:59 p. m. GMT-5","Entre 18 y 24","Masculino","Otro","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/13 9:22:59 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","No","5","5","",""
"2023/06/13 10:00:57 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","3","4","No","Si","Si","Si","4","3","",""
"2023/06/13 10:04:30 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/14 2:45:49 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","4","4","Si","Si","Si","Si","4","4","",""
"2023/06/19 9:35:12 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","3","5","No","Si","Si","Si","5","5","",""
"2023/06/09 12:30:00 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 12:35:17 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 12:40:49 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 12:45:22 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 12:50:10 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 1:00:55 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","4","4","No","Si","Si","Si","5","5","",""
"2023/06/09 1:15:32 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 1:25:49 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 1:30:21 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 1:35:09 p. m. GMT-5","Entre 25 y 64","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 1:45:47 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 2:00:15 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","3"3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 2:10:28 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 2:20:03 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 2:35:42 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 2:45:16 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 2:55:55 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 3:10:29 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 3:25:17 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 3:35:02 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 3:45:38 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 3:55:25 p. m. GMT-5","Entre 25 y 64","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 4:10:08 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 4:20:43 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 4:35:19 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 4:45:57 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 5:00:24 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 5:15:01 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 5:30:47 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 5:45:35 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 6:00:13 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 6:15:02 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 6:30:19 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 6:45:08 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 7:00:45 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 7:15:32 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 7:30:09 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 7:45:27 p. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 8:00:15 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 8:15:32 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 8:30:49 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 8:45:17 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 9:00:44 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 9:15:21 p. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 9:30:39 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 9:45:58 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 10:00:27 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 10:15:55 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 10:30:12 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 10:45:29 p. m. GMT-5","Entre 18 y 24","Femenino","MaestríaCulminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:00:38 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:15:57 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:30:16 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:45:25 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 12:00:44 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 12:15:03 a. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 12:30:22 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 12:45:40 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 1:00:59 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 1:15:18 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 1:30:37 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 1:45:55 a. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 2:00:14 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 2:15:33 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 2:30:52 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 2:45:10 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 3:00:29 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""