"Marca temporal","Edad","Género","Nivel Educativo","¿La velocidad de ejecución de la clasificación de los datos le parece adecuada?","¿Usted considera que la clasificación de los datos fue correcta?"
"2023/06/09 11:41:23 a. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/09 11:46:25 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/09 11:47:31 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/09 11:47:37 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","4"
"2023/06/09 11:47:43 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","5"
"2023/06/09 11:51:29 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/09 11:52:57 a. m. GMT-5","Entre 25 y 64","Masculino","Maestria Culminado","5","5"
"2023/06/09 11:56:57 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","4"
"2023/06/09 11:59:02 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","4"
"2023/06/09 12:07:43 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","2"
"2023/06/09 12:09:09 p. m. GMT-5","Entre 18 y 24","Femenino","Maestria Culminado","5","5"
"2023/06/09 12:11:30 p. m. GMT-5","Entre 25 y 64","Femenino","Maestria Culminado","5","5"
"2023/06/09 7:06:12 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/09 7:14:01 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/09 10:47:51 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/10 1:17:46 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","1"
"2023/06/10 5:49:04 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","5"
"2023/06/10 5:55:19 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","1","1"
"2023/06/10 6:04:30 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5"
"2023/06/10 6:42:27 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/11 6:15:26 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/13 8:37:26 p. m. GMT-5","Entre 25 y 64","Femenino","Maestria Culminado","1","2"
"2023/06/13 8:39:29 p. m. GMT-5","Entre 18 y 24","Masculino","Universitario Culminado","4","5"
"2023/06/13 8:53:03 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/13 9:02:34 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3"
"2023/06/13 9:10:59 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/13 9:17:43 p. m. GMT-5","Entre 25 y 64","Femenino","Maestria Culminado","4","4"
"2023/06/13 9:57:49 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","3"
"2023/06/14 8:02:11 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","4"
"2023/06/19 9:31:54 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","4"
"2023/06/09 11:41:23 a. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/09 11:46:25 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/09 11:47:31 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/09 11:47:37 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","4"
"2023/06/09 11:47:43 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","5"
"2023/06/09 11:51:29 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/09 11:52:57 a. m. GMT-5","Entre 25 y 64","Masculino","Maestría Culminada","5","5"
"2023/06/09 11:56:57 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","4"
"2023/06/09 11:59:02 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","4"
"2023/06/09 12:07:43 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","2"
"2023/06/09 12:09:09 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5"
"2023/06/09 12:11:30 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","5","5"
"2023/06/09 7:06:12 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/09 7:14:01 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/09 10:47:51 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","4","4"
"2023/06/10 1:17:46 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","1"
"2023/06/10 5:49:04 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","45","5"
"2023/06/10 5:55:19 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","1","1"
"2023/06/10 6:04:30 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5"
"2023/06/10 6:42:27 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/11 6:15:26 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/13 8:37:26 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","1","2"
"2023/06/13 8:39:29 p. m. GMT-5","Entre 18 y 24","Masculino","Universitario Culminado","4","5"
"2023/06/13 8:53:03 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/13 9:02:34 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3"
"2023/06/13 9:10:59 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/13 9:17:43 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","4","4"
"2023/06/13 9:57:49 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","3"
"2023/06/14 8:02:11 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","4"
"2023/06/19 9:31:54 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","4"
"2023/06/19 10:15:26 a. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","4","5"
"2023/06/19 10:22:47 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 10:30:08 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5"
"2023/06/19 10:37:29 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/19 10:44:50 a. m. GMT-5","Entre 25 y 64","Masculino","Maestría Culminada","4","4"
"2023/06/19 10:52:11 a. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5"
"2023/06/19 10:59:32 a. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","3","3"
"2023/06/19 11:06:53 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","4","4"
"2023/06/19 11:14:14 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","2"
"2023/06/19 11:21:35 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4"
"2023/06/19 11:28:56 a. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","5","5"
"2023/06/19 11:36:17 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/19 11:43:38 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3"
"2023/06/19 11:50:59 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 11:58:20 a. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","5","5"
"2023/06/19 12:05:41 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","4"
"2023/06/19 12:13:02 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","4"
"2023/06/19 12:20:23 p. m. GMT-5","Entre 18 y 24","Masculino","Universitario Culminado","4","5"
"2023/06/19 12:27:44 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","5","5"
"2023/06/19 12:35:05 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 12:42:26 p. m. GMT-5","Entre 25 y 64","Femenino","UniversitarioCulminado","4","4"
"2023/06/19 12:49:47 p. m. GMT-5","Entre 25 y 64","Masculino","Maestría Culminada","5","5"
"2023/06/19 12:57:08 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","4","4"
"2023/06/19 1:04:29 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","3","3"
"2023/06/19 1:11:50 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/19 1:19:11 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","5","5"
"2023/06/19 1:26:32 p. m. GMT-5","Entre 25 y 64","Femenino","Bachillerato Culminado","3","3"
"2023/06/19 1:33:53 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 1:41:14 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5"
"2023/06/19 1:48:35 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/19 1:55:56 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","3","3"
"2023/06/19 2:03:17 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 2:10:38 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5"
"2023/06/19 2:17:59 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","3"
"2023/06/19 2:25:20 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","4","4"
"2023/06/19 2:32:41 p. m. GMT-5","Entre 25 y 64","Femenino","Maestría Culminada","5","5"
"2023/06/19 2:40:02 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4"
"2023/06/19 2:47:23 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5"
"2023/06/19 2:54:44 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4"
"2023/06/19 3:02:05 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","4"